isArray is_array
isDirectory is_directory
isEqual is_equal
isExecutable is_executable
isFile is_file
isFunction is_function
isGreater is_greater
isGreaterOrEqual is_equal_or_greater
isLess is_less
isMatch is_match
isPath is_path
isPipe is_pipe
isReadable is_readable
isReference is_reference
isSet is_set
isSocket is_socket
isUser is_user
isWritable is_writeable
isZero is_zero
notEqual not_equal
notMatch not_match
notSet not_set
notZero not_zero
set-nc-domain set_nc_domain
findFullProcess find_full_process
findProcess find_process
wait_SSH wait_ssh
